,tweet,user,location
22,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",alokdubey1408,#IAmNewIndia 
23,"i know you have feedup of listening about covid-19.
this video contains important links for covid resource.
how to… https://t.co/cpdtasrlnh",SunnySingh_13,"Mumbai, India"
24,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",anupammishra91,DelhiNCR
25,rt @ians_india: experts from naval dockyard #visakhapatnam have achieved a major breakthrough in repairing two major #oxygen plants at nell…,184Rambo,India
26,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,kassalv,
27,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,sistla19791,
28,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,GreyCommando,United States
29,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",rohit5576,"Noida, India"
30,"rt @covidhelpchd: #oxygenrefilling everyday 
filling max 10 l cylinder . 

timing - 9am to 7pm 

cont- 9810037251 

loc- pitampura #delhi…",whineandchill,
31,"rt @anupamrajsingh2: 2.15 lkh #trees ,mostly endemic and medicinal, to be chopped in draught prone bundelkhand. wildlife losses- huge. 5.59…",anilrajde,"Mumbai,India"
32,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Wolfstride,"Mumbai, India"
33,"rt @lolita_tnie: two consignments of zeolite, a crucial component for #oxygen generation, reached bengaluru airport from rome this morn on…",pearl_tnie,Bengaluru
34,"rt @vikramdevinc: #oxygen #concentrator available in #jaipur 

contact : +919465872595

verified on 16th may at 11:20 am by @teamkohinoor @…",RamkhilariSood,"Jodhpur, India"
35,"rt @aaravseth_: #sunday4securedfuture is back in action.🤝
planted a #treeofhope🌳 to surpass this phase from my country &amp; world. 
lets plant…",BhartiyaDiksha,
36,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",RaviSha99985341,"West Bengal, India"
37,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,LeslieGerardSa1,
38,"@abplivenews #indiahijacked mitroooo 
no social distancing required 
no #maskupindia 
no #oxygen required and no tr… https://t.co/vxtepqbvbi",LongmanGill,Canada
39,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,VIKBataille,"Washington, D.C."
40,#cyclonetauktaeupdate | #maharashtra coastal districts on alert. state has ensured uninterrupted electricity and… https://t.co/ndnlvfkah3,thenewsshots,
41,@indiadst @drharshvardhan @ashutos61 @nishamendiratt2 @vandanadst @pib_india @jnv_india aiming to plant… https://t.co/oc1t5cfshc,jha_yatendra,India
42,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",KAMAL65305252,
43,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Sanjeev7184,Thane
44,@vikramkirloskar aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergenc… https://t.co/1xs32pryh5,jha_yatendra,India
45,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",OmSaiRamOSR,"Dehri on Son, India"
46,@drvnmishraa @myogiadityanath @drharshvardhan @pmoindia @aksharmabharat @dmvaranasi2016 @satishbharadwaj aiming to… https://t.co/9s7h2mngjd,jha_yatendra,India
47,"rt @aaravseth_: #sunday4securedfuture is back in action.🤝
planted a #treeofhope🌳 to surpass this phase from my country &amp; world. 
lets plant…",AaravSeth_,India
48,@rajeshkalra aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencies.… https://t.co/mqg2rzqplf,jha_yatendra,India
49,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,DILNIDHI,"London, England"
50,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,ashwarychopda,India
51,@gauravcsawant aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencie… https://t.co/oj0okz2ft8,jha_yatendra,India
52,"rt @thenewsminute: shortage of oxygen cylinders in ap’s guntur hits covid-19 patients in home care
#oxygen
#oxygencylinders
#oxygenconcentr…",Varun8Vijay,Bangalore
53,"rt @logicallysane: any source in patiala that will rent oxygen cylinder/ concentrator for non-covid kidney patient, who will need oxygen su…",LogicallySane,
54,"rt @ajaynewsman: #oxygen @indiannavy
engineers revive two o2 plants in andhra --nellore capacity 400 jumbo cylinders a day and shri kalahas…",JatEngine,
55,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,MarieW_S,
56,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,Navghan3333,
57,"this is the kind of week that leaves me frustrated and sad.

people will choose to watch #thewomaninthewindow,… https://t.co/msqzeqtdrc",msbreviews,Portugal
58,"#oxygen @indiannavy
engineers revive two o2 plants in andhra --nellore capacity 400 jumbo cylinders a day and shri… https://t.co/cc99ezo0o0",ajaynewsman,"New Delhi, India. "
59,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,subh851,"Bhubaneshwar, India"
60,"rt @ralpharakal: 34,200 kgs #zeolite arrive at @blrairport from rome in two air india flights. officials say this is the first of many batc…",klishtakara,
61,rt @mmmpawan: delhi hc starts hearing #navneetkalra anticipatory bail plea at 7:41 pm and goes on till 9:53 pm.  hearing remains inconclusi…,SHIWANSHUSING19,
62,experts from naval dockyard #visakhapatnam have achieved a major breakthrough in repairing two major #oxygen plants… https://t.co/dkkudrp6jp,ians_india,New Delhi
63,"rt @mahendermanral: for the lack of #oxygen.  

https://t.co/9ojehvt9mr https://t.co/mt21i0ntlo",hatefreeworldX,Assol Nation Led by Ass
64,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",TheEmpr47038995,
65,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Venkatram_T,Hyderabad
66,"rt @mahendermanral: for the lack of #oxygen.  

https://t.co/9ojehvt9mr https://t.co/mt21i0ntlo",Jenin65149160,
67,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",alokg2k,India
68,the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support… https://t.co/nseuwqcmc2,the_hindu,"Chennai, India"
69,"rt @concornwr: to provide uninterrupted #o2 to #covid-19 patients,
@concor_india is moving #oxygen trains across india. #oxygenexpress trai…",nkdhaker,indore
70,"rt @vinaydokania: @rahulgandhi these lives could have been saved had modi not starved them of #oxygen.
#failendramodi #modimustresign #modi…",Challen39365422,
71,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",imesskay,"Ranchi, India"
72,"rt @radiochinar: he mentioned about the 250 bed hospital established at rangreth &amp; other initiatives like provisioning of icu beds, #oxygen…",Narende35300720,
73,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Santosh4IND,"Hyderabad, India"
74,"rt @concor_india: @concor_india, #oxygen tank contrs.moved by #railway across 🇮🇳 for #covid19 2 #trains 4 #andhra pradesh

1 -     40mt o2…",nkdhaker,indore
75,rt @concorarea3: 2nd consignment for #hyderabad with 80 mt of #oxygen (lmo) in 4 cryogenic tank containers of 20 mt each from jamnagar has…,nkdhaker,indore
76,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",HelpRanchi,
77,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",ADITYAKOOL3,PRAYAGRAJ
78,"chennai #oxygen #oxygengenerator #oxygentherapy #oxygenrefill #oxygenemergency #chennai 
streetvision trust
9444038… https://t.co/hp7xoan4if",Imafreespeaker,India
79,"rt @indianterrain: new #covidfacility at hyatt regency delhi. #verified on 10.05.2021

they are accepting senior patients with mild symptom…",Ankita26Rohan,"नोएडा, भारत"
80,"the #drug, 2-deoxy-d-glucose developed by @drdo_india in #collaboration with @drreddys laboratories has been grante… https://t.co/0olboesf1w",lifelabfoundat1,
81,rt @sksingham3: in  #oxygen                but                                                out #coronavirus    how🚩 https://t.co/bn06wkb…,sksingham3,India
82,"rt @ralpharakal: 34,200 kgs #zeolite arrive at @blrairport from rome in two air india flights. officials say this is the first of many batc…",WFRising,Whitefield Bangalore
83,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,AAMIRCRAZE,India
84,"rt @mahendermanral: for the lack of #oxygen.  

https://t.co/9ojehvt9mr https://t.co/mt21i0ntlo",Sasha30_V,Canada
85,@siddaramaiah @bsybjp real data is deceasing is #health #finance #education #jobs #oxygen #vaccines #beds… https://t.co/b2bysm1evz,suraj_ramban,Basavakalyan
86,"rt @soutikbbc: when breath becomes air. 
via ⁦@indianexpress⁩ 
#covid19india #oxygen https://t.co/5gki1pdmuf",PrasenjeetBagc4,Mumbai
87,@boskykhanna @namma_btm @newindianxpress @xpressbengaluru @santwana99 @dhfwka @bbmpcomm @nammabengaluroo… https://t.co/bsverrxk38,jha_yatendra,India
88,rt @barnalirays: #covidresources #bhopal #hospitalbeds with #oxygen #icubeds https://t.co/aygfzg5eed,UrMoonDoo,"Mumbai, India"
89,"rt @upcovidhelper: #aligarh #oxygen

#verified @ 15-may 04:12 pm ✅

oxygen cylinders available
name : hamzaa

contact: 9045185708
@upcovidh…",tariq22qamar,Earth
90,"rt @helpinghandsjpr: #aligarh #oxygen

only 3 oxygen cylinders available
1 filled and 2 empty
name: hamzaa
contact: 9045185708

verified at…",tariq22qamar,Earth
91,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,pula_reddy,"Mumbai, India"
92,"paltu @arvindkejriwal   we don't have enough #oxygen , central fail. 

court - we will do audit. 

paltu and ganja… https://t.co/60htq9kzct",abhishek2mishra,"New Delhi, India"
93,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,Shashan20797894,"Agra, India"
94,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",suleimanikeede,Bharat
95,@drrajeev4uaiims @sudhakardas @mohfw_india @aiimsrda @udaindia @drharshvardhan @ashwinikchoubey aiming to plant… https://t.co/cvon3wx5hu,jha_yatendra,India
96,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",mksspr,"Kakinada, India"
97,rt @newindianxpress: @gsvasu_tnie @xpresskerala @mskiranprakash kerala's first #oxygenexpress carrying 118 mt of medical #oxygen arrived at…,godofgoodthings,Earth
98,"rt @defccofficial: #naturecuresyou, social media campaign aims to enhance the knowledge about #indoorplants. initiative taken by #defcc, bi…",BltCorp,"New Delhi, India"
99,@weareranchi @lagatarin @hemantsorenjmm @jmmjharkhand aiming to plant #smartoxytree with 95% pure #oxygen in public… https://t.co/dgpnjwedam,jha_yatendra,India
100,"rt @mallareddyuday: @mohanapriya_95 @charan_tweetz @hihyderabad @covidfightclub1 @lokalwala3 @hydcovid19 @samsongidla try this too

10 #oxy…",Ramredd77406258,
101,@eriksolheim @cciced @nedopil @henningkristoff @greennewschina @norwayinchina @beltandroad1 @greenbeltroad… https://t.co/4yeuev9ct9,jha_yatendra,India
102,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",ShaliniB2109,"Maharashtra, India"
103,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",TheSantoshKr,India
104,"rt @radiochinar: he mentioned about the 250 bed hospital established at rangreth &amp; other initiatives like provisioning of icu beds, #oxygen…",Hussain70791074,
105,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Ishan_230,"Chandigarh, India"
106,"rt @aaravseth_: #sunday4securedfuture is back in action.🤝
planted a #treeofhope🌳 to surpass this phase from my country &amp; world. 
lets plant…",WinnieCheche,"Nairobi, Kenya"
107,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",vrugonnab,online!
108,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,FairozGadad,"Pune, India"
109,"rt @soutikbbc: when breath becomes air. 
via ⁦@indianexpress⁩ 
#covid19india #oxygen https://t.co/5gki1pdmuf",netshrink,"Pune, India"
110,"verified✅ at 11:00 am on 16.05.2021

for #ambulance with #oxygen service 
contact : 8292710851 
location : #patna",SinghTannu2730,"Patna, India"
111,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Nkhl01650184,India
112,@leenadhankhar @htgurgaon @httweets aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthma… https://t.co/0txiw0a3hn,jha_yatendra,India
113,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",joshkum18719270,London
114,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,manishpnd133,Delhi
115,"rt @soutikbbc: when breath becomes air. 
via ⁦@indianexpress⁩ 
#covid19india #oxygen https://t.co/5gki1pdmuf",AshutoshSinha00,WWW
116,rt @rohit_k69: why is @narendramodi merely listing what needs to be done? we need pm to tell us how &amp; by when he plans to do it. yes a plan…,AKANSHA52095633,Uttar Pradesh
117,"one dead, trees uprooted as cyclone tauktae causes disruption in goa https://t.co/04vq6zvzjn #oxygen #breakingnews… https://t.co/jcpizpwuxt",Andhravilasnews,USA
118,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",NITESHRAJPOOT,Not at Mars
119,"rt @manoharicon27: verified ✅   

oxygen concentrators , regular beds, oxygen beds, icu beds 👍🏻  spread it

#covidhelphyderabad #hyderabad…",Nenu_Bunny,Bangaram Shanu 👑💘🖤
120,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",ManojKu14247369,
121,"rt @vikramdevinc: 100 #oxygen #beds are #available in #jaipur

covid care centre, radha soami satsang beas, bilwa

contact: 7023557768, 014…",AsindDudaram,
122,"rt @vishveshkardani: delhi oxygen concentrator available
#verified  
#delhi #oxygen #oxygenconcentrator
#delhifightscorona 
#covid #indiafi…",ImRam_87,India
123,"rt @pibbhubaneswar: 🛢️relaxations provided under gas cylinders rules, 2016, so as to fast track approvals for imported cylinders and pressu…",vinod22rajini25,
124,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",rohitroy211,"New Delhi, India"
125,"@indiannavy experts repair two #oxygen plants in #andhrapradesh, improving state's o2 supply… https://t.co/misevryph3",xpressandhra,Vijayawada
126,"#oxygen support #cylinder

#kolkata https://t.co/zazhynjbog",rishi7_roy,World upside down
127,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,AnnuJal,Kolkata
128,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,MendonsaCyril,India
129,rt @newindianxpress: @gsvasu_tnie @xpresskerala @mskiranprakash kerala's first #oxygenexpress carrying 118 mt of medical #oxygen arrived at…,sanesh_TNIE,"Kochi, India"
130,rt @pahadi_rocks: upcoming talent in #ipl #whatsapp #uttarakhand #covid19 #covidemergency  #vaccination #vaccine #lovestay #crypto #cryptoc…,Lokesh_2020V,Dehradun 
131,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",mayur_rt,India
132,@umesh_rajbhar1 @farid58892182 @afrdaustajuddin @idf buy #oxygen  first,NakeedTrue,
133,rt @pahadi_rocks: upcoming talent in #ipl #whatsapp #uttarakhand #covid19 #covidemergency  #vaccination #vaccine #lovestay #crypto #cryptoc…,Dude06Lucky,
134,"*two major #oxygen plants in andhra pradesh operationalised by indian navy*
teams from naval dockyard visakhapatnam… https://t.co/cbs0koa2lg",Madhurendra13,New delhi
135,rt @sushmita_dutta: beware of #doctors of #vrindavan  #hospital #shahberi denied #treatment #oxygen. they not only #killed a father but onl…,sushmita_dutta,
136,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Bondrana,India
137,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,UrbanXpat,Valhalla
138,upcoming talent in #ipl #whatsapp #uttarakhand #covid19 #covidemergency  #vaccination #vaccine #lovestay #crypto… https://t.co/uzna0azbrx,pahadi_rocks,
139,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",_kr_shubham,Deoghar Jharkhand India
140,"rt @ajay_singh0454: urgent need of bed &amp; #oxygen in deoria sadar #hospital
name- vikash pandey
age- 64
village- madhaur
post- bhatpar rani…",Narayankdubey,"New Delhi, India"
141,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,vikka0007,mumbai
142,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,HrdShabbeer,India
143,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,vlmdshariq,
144,"the consul general of the kingdom of bahrain in karachi, yasser ajlan al-hiddi, delivered medical equipment and oxy… https://t.co/uwfvchari7",bahrainthisweek,Bahrain
145,rt @jha_yatendra: @ankitkumar_ifs aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencies...c…,TarunKa66677483,"NCR, Bharat "
146,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Shekhar_Q,
147,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",bhavya1705,
148,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,nandtara,
149,rt @rohit_k69: why is @narendramodi merely listing what needs to be done? we need pm to tell us how &amp; by when he plans to do it. yes a plan…,shadabmoizee,New Delhi
150,"#irony 

authority, 
who couldn't conclude that car was being driven by #salman or someone else in 19 years, 
is fo… https://t.co/pmtpfzjxz8",NIK3SH,::1
151,rt @toimumbai: veteran actor @anupampkher  donated #oxygen concentrators and #bipap machines to the #bmc for relief work during the #corona…,VijaySekhri1,
152,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,ravisaga,"Bengaluru South, India"
153,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",Padagotti,
154,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",AmiyaMrinal,"Ranchi, Jharkhand, INDIA. "
155,"rt @salimkaskar3: these lives could have been saved had modi not starved them of #oxygen.
#failendramodi #modimustresign #modimadedisaster…",HARVEY_WEAVING,"Kolkata, India"
156,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",gsarin,"Mumbai, India"
157,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",JaksJd87,BHARAT
158,@indiasciencetv @drharshvardhan @indiadst @ashutos61 @vigyanprasar @nakulparashar aiming to plant #smartoxytree wit… https://t.co/8jakthk0hn,jha_yatendra,India
159,"rt @mallareddyuday: @mohanapriya_95 @charan_tweetz @hihyderabad @covidfightclub1 @lokalwala3 @hydcovid19 @samsongidla try this too

10 #oxy…",Kajal_Fan_Girl,"Kurnool, India"
160,"rt @lakshmimittal12: delhi will breathe again: oxygen concentrator for rent in delhi:- sanjay rana
09582890542
#oxygenconcentrators  for pu…",jungle_sparrow,"New Delhi, India"
161,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,animeshynr,"Yamunanagar, Haryana"
162,"rt @covidhelpchd: #jaipur 
4 #oxygen #beds and 4 #icu beds without #ventilator available

ganpati ent hospital
phone: +91-8004219000
locati…",krysnah_9,
163,@coeingenomics @rajvarshney @trendsplantsci @cellcellpress @icrisat @cgiar_data @bgi_genomics @datascience__… https://t.co/9nj60jwrft,jha_yatendra,India
164,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",akshaychandorka,"Nagpur, India"
165,@mygovindia @mohfw_india @pmoindia @pib_india @mib_india @prakashjavdekar @dvsadanandgowda @drharshvardhan aiming t… https://t.co/kp6igltt3s,jha_yatendra,India
166,"@arvindkejriwal @aamaadmiparty 

that's how shortage of #oxygen in #delhi can be summarised

free ki #sarkar and ja… https://t.co/f1sesskmhp",YashDhanuka14,
167,@ankitkumar_ifs aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergenci… https://t.co/q8dsnlxts3,jha_yatendra,India
168,"@paimadhu @jobeegeorgeous #taskforcecorona vs #modimadedisaster 
got #covid19 #namastetrump
spread #lockdown2020
so… https://t.co/xxhfrw5txl",VinayShindeBlr,Planet Earth
169,"rt @debapriya_deb: verified leads for #oxygen cylinders in hyderabad:

1. phone: 9700238886 (pramod chowhan)

2. phone: 9966010634",Johna09890241,Kottarakara
170,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",tina661014,Mumbai 
171,maha pays rich tributes to congress mp rajeev satav (ld) https://t.co/sgqae7owme #coronaviruspandemic #indiacovid… https://t.co/cwjwuxjrfr,Andhravilasnews,USA
172,"shortage of oxygen cylinders in ap’s guntur hits covid-19 patients in home care
#oxygen
#oxygencylinders… https://t.co/twoe4a5fom",thenewsminute,Bengaluru
173,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",yagneshp,India
174,@anandmahindra aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencie… https://t.co/t4mmmtncxp,jha_yatendra,India
175,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",AJAYBHAN,"Mayur vihar, Delhi"
176,"#tamilnadu#coimbatore
#thirunelveli

#oxygen cylinder
#oxygen concentrator
#oxygen refilling

verified on - 15 may… https://t.co/b81lxhkjaq",aastha09972449,
177,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",sandeeprrao1991,BLR
178,"rt @bhupalpsr: dear @aaravseth_ .great efforts 👌

nature has given us priceless #oxygen
we need artificial oxygen because of the neglect of…",BhupalPsr,"Guntur, Andhra Pradesh "
179,"rt @simbamara: dear pm @narendramodi ji , why are such unscrupulous blackmarketeers not arrested, jailed &amp; #oxygen confiscated for supply t…",saadhyudu2011,"Guntur, Andhrapradesh.India."
180,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",yagneshp,India
181,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",Kaalateetham,"Bengaluru South, India"
