,tweet,user,location,label,split
18,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",AmitSha01709152,,0,1.483131573076548
19,"rt @ralpharakal: 34,200 kgs #zeolite arrive at @blrairport from rome in two air india flights. officials say this is the first of many batc…",garg09,India,0,1.4803510672425622
20,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,smshivaraj07,"Bengaluru, Karnataka, India",0,-0.1326338030278658
22,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",alokdubey1408,#IAmNewIndia ,1,-1.6591318863699733
23,"i know you have feedup of listening about covid-19.
this video contains important links for covid resource.
how to… https://t.co/cpdtasrlnh",SunnySingh_13,"Mumbai, India",0,1.0807119358259194
25,rt @ians_india: experts from naval dockyard #visakhapatnam have achieved a major breakthrough in repairing two major #oxygen plants at nell…,184Rambo,India,0,-0.1543920960192915
26,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,kassalv,,1,-1.2894971287053472
27,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,sistla19791,,1,0.08716738729116023
33,"rt @lolita_tnie: two consignments of zeolite, a crucial component for #oxygen generation, reached bengaluru airport from rome this morn on…",pearl_tnie,Bengaluru,0,1.0165605859120361
34,"rt @vikramdevinc: #oxygen #concentrator available in #jaipur 

contact : +919465872595

verified on 16th may at 11:20 am by @teamkohinoor @…",RamkhilariSood,"Jodhpur, India",0,0.4901800930937858
35,"rt @aaravseth_: #sunday4securedfuture is back in action.🤝
planted a #treeofhope🌳 to surpass this phase from my country &amp; world. 
lets plant…",BhartiyaDiksha,,0,0.2400325991885189
36,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",RaviSha99985341,"West Bengal, India",0,0.15299263627295562
38,"@abplivenews #indiahijacked mitroooo 
no social distancing required 
no #maskupindia 
no #oxygen required and no tr… https://t.co/vxtepqbvbi",LongmanGill,Canada,1,0.05234183573581436
39,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,VIKBataille,"Washington, D.C.",0,-1.3846896662224586
42,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",KAMAL65305252,,0,0.6946800016877887
43,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Sanjeev7184,Thane,1,0.7381994382711148
44,@vikramkirloskar aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergenc… https://t.co/1xs32pryh5,jha_yatendra,India,0,-1.1585345792148598
45,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",OmSaiRamOSR,"Dehri on Son, India",0,-0.6446907396937519
46,@drvnmishraa @myogiadityanath @drharshvardhan @pmoindia @aksharmabharat @dmvaranasi2016 @satishbharadwaj aiming to… https://t.co/9s7h2mngjd,jha_yatendra,India,0,1.1612379843952934
47,"rt @aaravseth_: #sunday4securedfuture is back in action.🤝
planted a #treeofhope🌳 to surpass this phase from my country &amp; world. 
lets plant…",AaravSeth_,India,0,1.0140606887889139
48,@rajeshkalra aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencies.… https://t.co/mqg2rzqplf,jha_yatendra,India,0,0.6207175825163692
49,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,DILNIDHI,"London, England",0,-0.09949324978512847
50,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,ashwarychopda,India,0,-0.5202694100175487
51,@gauravcsawant aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencie… https://t.co/oj0okz2ft8,jha_yatendra,India,0,0.1043789179240653
52,"rt @thenewsminute: shortage of oxygen cylinders in ap’s guntur hits covid-19 patients in home care
#oxygen
#oxygencylinders
#oxygenconcentr…",Varun8Vijay,Bangalore,0,-1.586922420731113
53,"rt @logicallysane: any source in patiala that will rent oxygen cylinder/ concentrator for non-covid kidney patient, who will need oxygen su…",LogicallySane,,0,-1.2748717168471873
54,"rt @ajaynewsman: #oxygen @indiannavy
engineers revive two o2 plants in andhra --nellore capacity 400 jumbo cylinders a day and shri kalahas…",JatEngine,,0,1.120134239003822
56,rt @the_hindu: the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support with the…,Navghan3333,,0,-2.3053417590360934
57,"this is the kind of week that leaves me frustrated and sad.

people will choose to watch #thewomaninthewindow,… https://t.co/msqzeqtdrc",msbreviews,Portugal,1,1.0118577750640818
58,"#oxygen @indiannavy
engineers revive two o2 plants in andhra --nellore capacity 400 jumbo cylinders a day and shri… https://t.co/cc99ezo0o0",ajaynewsman,"New Delhi, India. ",0,1.8176175864884425
61,rt @mmmpawan: delhi hc starts hearing #navneetkalra anticipatory bail plea at 7:41 pm and goes on till 9:53 pm.  hearing remains inconclusi…,SHIWANSHUSING19,,0,0.07307578564745762
63,"rt @mahendermanral: for the lack of #oxygen.  

https://t.co/9ojehvt9mr https://t.co/mt21i0ntlo",hatefreeworldX,Assol Nation Led by Ass,1,0.6912551519525412
64,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",TheEmpr47038995,,0,1.2661628543316144
66,"rt @mahendermanral: for the lack of #oxygen.  

https://t.co/9ojehvt9mr https://t.co/mt21i0ntlo",Jenin65149160,,1,-0.48356825451147506
67,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",alokg2k,India,1,-0.5432707486964645
68,the government will set up a dedicated website for the purpose where hospitals treating patients on #oxygen support… https://t.co/nseuwqcmc2,the_hindu,"Chennai, India",0,0.9389819716824752
69,"rt @concornwr: to provide uninterrupted #o2 to #covid-19 patients,
@concor_india is moving #oxygen trains across india. #oxygenexpress trai…",nkdhaker,indore,0,-0.26788466815209294
70,"rt @vinaydokania: @rahulgandhi these lives could have been saved had modi not starved them of #oxygen.
#failendramodi #modimustresign #modi…",Challen39365422,,0,-0.6952278542816427
71,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",imesskay,"Ranchi, India",0,-1.5670030752300357
72,"rt @radiochinar: he mentioned about the 250 bed hospital established at rangreth &amp; other initiatives like provisioning of icu beds, #oxygen…",Narende35300720,,0,-1.171048206971821
73,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Santosh4IND,"Hyderabad, India",0,-0.4276277292800713
74,"rt @concor_india: @concor_india, #oxygen tank contrs.moved by #railway across 🇮🇳 for #covid19 2 #trains 4 #andhra pradesh

1 -     40mt o2…",nkdhaker,indore,0,0.4326724798916958
75,rt @concorarea3: 2nd consignment for #hyderabad with 80 mt of #oxygen (lmo) in 4 cryogenic tank containers of 20 mt each from jamnagar has…,nkdhaker,indore,0,-1.2209793118142342
76,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",HelpRanchi,,0,-1.1060986313670502
77,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",ADITYAKOOL3,PRAYAGRAJ,1,1.2873476984149475
79,"rt @indianterrain: new #covidfacility at hyatt regency delhi. #verified on 10.05.2021

they are accepting senior patients with mild symptom…",Ankita26Rohan,"नोएडा, भारत",0,-0.18748178892273543
80,"the #drug, 2-deoxy-d-glucose developed by @drdo_india in #collaboration with @drreddys laboratories has been grante… https://t.co/0olboesf1w",lifelabfoundat1,,0,0.5934263703593583
81,rt @sksingham3: in  #oxygen                but                                                out #coronavirus    how🚩 https://t.co/bn06wkb…,sksingham3,India,0,-0.6149891416001996
83,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,AAMIRCRAZE,India,1,0.26552570161392636
85,@siddaramaiah @bsybjp real data is deceasing is #health #finance #education #jobs #oxygen #vaccines #beds… https://t.co/b2bysm1evz,suraj_ramban,Basavakalyan,0,1.2827352951047353
87,@boskykhanna @namma_btm @newindianxpress @xpressbengaluru @santwana99 @dhfwka @bbmpcomm @nammabengaluroo… https://t.co/bsverrxk38,jha_yatendra,India,0,0.33436939044062386
88,rt @barnalirays: #covidresources #bhopal #hospitalbeds with #oxygen #icubeds https://t.co/aygfzg5eed,UrMoonDoo,"Mumbai, India",0,-1.760408439816206
89,"rt @upcovidhelper: #aligarh #oxygen

#verified @ 15-may 04:12 pm ✅

oxygen cylinders available
name : hamzaa

contact: 9045185708
@upcovidh…",tariq22qamar,Earth,0,0.31482253490084794
90,"rt @helpinghandsjpr: #aligarh #oxygen

only 3 oxygen cylinders available
1 filled and 2 empty
name: hamzaa
contact: 9045185708

verified at…",tariq22qamar,Earth,1,1.3594711254151375
91,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,pula_reddy,"Mumbai, India",1,0.0004385706927084485
92,"paltu @arvindkejriwal   we don't have enough #oxygen , central fail. 

court - we will do audit. 

paltu and ganja… https://t.co/60htq9kzct",abhishek2mishra,"New Delhi, India",1,-1.4548511869698093
94,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",suleimanikeede,Bharat,0,1.1285508816947174
95,@drrajeev4uaiims @sudhakardas @mohfw_india @aiimsrda @udaindia @drharshvardhan @ashwinikchoubey aiming to plant… https://t.co/cvon3wx5hu,jha_yatendra,India,0,1.2746296737917497
96,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",mksspr,"Kakinada, India",0,-0.3994693767942661
100,"rt @mallareddyuday: @mohanapriya_95 @charan_tweetz @hihyderabad @covidfightclub1 @lokalwala3 @hydcovid19 @samsongidla try this too

10 #oxy…",Ramredd77406258,,0,-0.055295891692845156
101,@eriksolheim @cciced @nedopil @henningkristoff @greennewschina @norwayinchina @beltandroad1 @greenbeltroad… https://t.co/4yeuev9ct9,jha_yatendra,India,0,2.4953977909574783
102,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",ShaliniB2109,"Maharashtra, India",0,-0.3838252916374032
103,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",TheSantoshKr,India,1,0.07703806038095022
108,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,FairozGadad,"Pune, India",1,-1.0035570280887787
111,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Nkhl01650184,India,0,2.3686399571412933
112,@leenadhankhar @htgurgaon @httweets aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthma… https://t.co/0txiw0a3hn,jha_yatendra,India,0,-2.0920539511658194
113,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",joshkum18719270,London,0,0.239889971897693
114,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,manishpnd133,Delhi,0,0.5480698454008104
118,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",NITESHRAJPOOT,Not at Mars,0,1.8169701263060554
119,"rt @manoharicon27: verified ✅   

oxygen concentrators , regular beds, oxygen beds, icu beds 👍🏻  spread it

#covidhelphyderabad #hyderabad…",Nenu_Bunny,Bangaram Shanu 👑💘🖤,0,1.7481502064465602
123,"rt @pibbhubaneswar: 🛢️relaxations provided under gas cylinders rules, 2016, so as to fast track approvals for imported cylinders and pressu…",vinod22rajini25,,0,0.2870708007827807
125,"@indiannavy experts repair two #oxygen plants in #andhrapradesh, improving state's o2 supply… https://t.co/misevryph3",xpressandhra,Vijayawada,0,0.5748429560624759
126,"#oxygen support #cylinder

#kolkata https://t.co/zazhynjbog",rishi7_roy,World upside down,0,0.3879466967612991
129,rt @newindianxpress: @gsvasu_tnie @xpresskerala @mskiranprakash kerala's first #oxygenexpress carrying 118 mt of medical #oxygen arrived at…,sanesh_TNIE,"Kochi, India",0,-0.9680050238598186
132,@umesh_rajbhar1 @farid58892182 @afrdaustajuddin @idf buy #oxygen  first,NakeedTrue,,0,0.5673619666206726
135,rt @sushmita_dutta: beware of #doctors of #vrindavan  #hospital #shahberi denied #treatment #oxygen. they not only #killed a father but onl…,sushmita_dutta,,1,0.6053382523873319
136,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Bondrana,India,1,-2.46740158178056
137,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,UrbanXpat,Valhalla,1,-0.5192903600467861
139,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",_kr_shubham,Deoghar Jharkhand India,0,0.10521619433554008
141,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,vikka0007,mumbai,1,0.14973171930424087
144,"the consul general of the kingdom of bahrain in karachi, yasser ajlan al-hiddi, delivered medical equipment and oxy… https://t.co/uwfvchari7",bahrainthisweek,Bahrain,0,0.7793918922029553
146,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,Shekhar_Q,,1,-0.15718513102356377
148,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,nandtara,,1,-0.9157536640437905
149,rt @rohit_k69: why is @narendramodi merely listing what needs to be done? we need pm to tell us how &amp; by when he plans to do it. yes a plan…,shadabmoizee,New Delhi,0,0.17377110425759415
150,"#irony 

authority, 
who couldn't conclude that car was being driven by #salman or someone else in 19 years, 
is fo… https://t.co/pmtpfzjxz8",NIK3SH,::1,0,0.3094180167441813
151,rt @toimumbai: veteran actor @anupampkher  donated #oxygen concentrators and #bipap machines to the #bmc for relief work during the #corona…,VijaySekhri1,,0,-1.8579377306166864
152,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,ravisaga,"Bengaluru South, India",0,1.0581888664271775
153,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",Padagotti,,0,-0.7444170479091134
155,"rt @salimkaskar3: these lives could have been saved had modi not starved them of #oxygen.
#failendramodi #modimustresign #modimadedisaster…",HARVEY_WEAVING,"Kolkata, India",0,0.8819769019164652
156,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",gsarin,"Mumbai, India",1,-1.6242447247577874
157,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",JaksJd87,BHARAT,0,-0.914471608320054
160,"rt @lakshmimittal12: delhi will breathe again: oxygen concentrator for rent in delhi:- sanjay rana
09582890542
#oxygenconcentrators  for pu…",jungle_sparrow,"New Delhi, India",0,-0.8549216771277083
161,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,animeshynr,"Yamunanagar, Haryana",1,0.30869856148086916
162,"rt @covidhelpchd: #jaipur 
4 #oxygen #beds and 4 #icu beds without #ventilator available

ganpati ent hospital
phone: +91-8004219000
locati…",krysnah_9,,0,0.03877772298351872
163,@coeingenomics @rajvarshney @trendsplantsci @cellcellpress @icrisat @cgiar_data @bgi_genomics @datascience__… https://t.co/9nj60jwrft,jha_yatendra,India,0,-0.16298156471140485
166,"@arvindkejriwal @aamaadmiparty 

that's how shortage of #oxygen in #delhi can be summarised

free ki #sarkar and ja… https://t.co/f1sesskmhp",YashDhanuka14,,0,0.055215189509924864
167,@ankitkumar_ifs aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergenci… https://t.co/q8dsnlxts3,jha_yatendra,India,0,0.39101447241366455
168,"@paimadhu @jobeegeorgeous #taskforcecorona vs #modimadedisaster 
got #covid19 #namastetrump
spread #lockdown2020
so… https://t.co/xxhfrw5txl",VinayShindeBlr,Planet Earth,0,0.6246430483657994
169,"rt @debapriya_deb: verified leads for #oxygen cylinders in hyderabad:

1. phone: 9700238886 (pramod chowhan)

2. phone: 9966010634",Johna09890241,Kottarakara,0,1.4836678284160076
170,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",tina661014,Mumbai ,1,0.024637214188019584
171,maha pays rich tributes to congress mp rajeev satav (ld) https://t.co/sgqae7owme #coronaviruspandemic #indiacovid… https://t.co/cwjwuxjrfr,Andhravilasnews,USA,0,-0.2836992328546256
172,"shortage of oxygen cylinders in ap’s guntur hits covid-19 patients in home care
#oxygen
#oxygencylinders… https://t.co/twoe4a5fom",thenewsminute,Bengaluru,0,-0.14709543508957493
173,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",yagneshp,India,1,-0.8188680987644491
175,"rt @sharmakhemchand: #kejriwal yesterday spent ₹80 lakh to get posters &amp; banners attacking pm @narendramodi put in delhi

in that much mone…",AJAYBHAN,"Mayur vihar, Delhi",1,0.5482394230262337
176,"#tamilnadu#coimbatore
#thirunelveli

#oxygen cylinder
#oxygen concentrator
#oxygen refilling

verified on - 15 may… https://t.co/b81lxhkjaq",aastha09972449,,0,-0.05414946073326466
177,"rt @blrairport: two air india flights carrying 34,200 kgs of zeolite, arrived from rome at @blrairport today. this is the first of the many…",sandeeprrao1991,BLR,0,1.2224762805304883
178,"rt @bhupalpsr: dear @aaravseth_ .great efforts 👌

nature has given us priceless #oxygen
we need artificial oxygen because of the neglect of…",BhupalPsr,"Guntur, Andhra Pradesh ",0,-1.716116109296985
179,"rt @simbamara: dear pm @narendramodi ji , why are such unscrupulous blackmarketeers not arrested, jailed &amp; #oxygen confiscated for supply t…",saadhyudu2011,"Guntur, Andhrapradesh.India.",0,0.5117569032003378
180,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",yagneshp,India,0,0.4675566849669107
182,"@major_pawan ab antidote toh bus doh ko hi laga hai 🙏  
got #covid19 #namastetrump
spread #lockdown2020
sold… https://t.co/jezwx9j8lp",VinayShindeBlr,Planet Earth,0,0.24635507459108438
183,rt @jha_yatendra: @sonusood @vishallamba20 @soodfoundation aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmat…,TarunKa66677483,"NCR, Bharat ",0,0.05753335215592114
185,"rt @vmbjp: thanks to @railminindia &amp; @piyushgoyal ji for providing kerala with 118 mt of oxygen. 

the first oxygen train to kerala arrived…",fobcbe,Coimbatore,0,-1.8815971253987271
186,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",ujjwalkumar2019,"Ranchi Road Area, Ramgarh",0,-1.4903938878952927
187,rt @hul_news: hul's #missionhope is now live in #delhi #ncr &amp; #bengaluru. those in need of an #oxygen concentrator for #covid19 patients ca…,AbhishekHawal1,"Mumbai, Maharashtra",0,0.6218408093248003
188,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,ImraanInc,,1,-0.5392244626424277
189,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,sandeeprrao1991,BLR,0,0.6637949610455119
190,"rt @anupamrajsingh2: 2.15 lkh #trees ,mostly endemic and medicinal, to be chopped in draught prone bundelkhand. wildlife losses- huge. 5.59…",Franky38693140,,1,-0.17747014933926542
191,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",Devendr71971731,,0,0.09740085521984006
194,"rt @vikramdevinc: 100 #oxygen #beds are #available in #jaipur

covid care centre, radha soami satsang beas, bilwa

contact: 7023557768, 014…",Pradeep_gugly,"kota, Rajasthan",0,-0.06220172773002666
195,"rt @radiochinar: he mentioned about the 250 bed hospital established at rangreth &amp; other initiatives like provisioning of icu beds, #oxygen…",Dilshan84152754,,0,0.24284661581114028
196,"rt @debapriya_deb: verified leads for #oxygen cylinders in hyderabad:

1. phone: 9700238886 (pramod chowhan)

2. phone: 9966010634",nikhil71437,"Bengaluru, India",0,0.6408623548318199
198,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",g_jaiswar,,0,1.545682402599573
199,"rt @tehseenp: first delhi gasped for #oxygen &amp; now my delhi struggles for #ventilatorbeds ! 
i speak to @teensthack on the ground reality i…",porendra,,1,1.1941478602911022
200,"rt @rajan_tewari: attention ⚠️

this is not a mere allegation by bjp that they can deny....

inox director has outrightly said @aamaadmipar…",guptapriyansh18,,0,-0.7019281821082207
201,"rt @siliguricovid19: #oxygen avalable in #siliguri

9002120037 : m.t.c. gases pvt .ltd.
9832038638 : riya gas agency
7557091040 : lions clu…",Chao_india,,0,0.7576266849033552
202,"rt @siliguricovid19: 🆘 #urgent #sos
required : #icubed &amp; #oxygen
city : #siliguri
state : #westbengal
patient name : munisingh thapa
age :…",Chao_india,,0,-0.19377192122485548
204,"rt @siliguricovid19: #siliguri 
government control room for #oxygen and #remdesivir

#covidemergencyindia #covidhelp #covid19 #covidsecondw…",Chao_india,,0,-1.9563405948768158
207,"rt @siliguricovid19: #siliguri #oxygen for home

quarantine covid patients humanitarion service to those in need.
• lion yogendra goel : 94…",Chao_india,,0,0.23569004195522364
208,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,MosesSapir,Israel,0,-1.1450657604645702
209,"rt @siliguricovid19: #oxygen avalable in #siliguri

9832558587 : surgichem india
03532641247 : m/s. s.s. enterprise
03532431060 : rehab sur…",Chao_india,,0,-0.9549635273987979
210,they all died! and only they needed was #oxygen . https://t.co/orfchwene8 the ⁦@indianexpress⁩ special page today.,satwantrissam,"Jammu, Jammu And Kashmir",1,1.7241754413529002
212,@ewestaway aiming to plant #smartoxytree with 95% pure #oxygen in public places for asthmatic people/emergencies...… https://t.co/hggqiq0glq,jha_yatendra,India,0,0.7606937487171949
213,"rt @siliguricovid19: #siliguri #oxygen cylinders
riya gas agency -- 9832038638.

#covidemergencyindia #covidhelp #covid19 #covidsecondwavei…",Chao_india,,0,0.3343528032615632
214,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,wowshailesh,"Mumbai, India",0,0.40682611819704456
215,"rt @bhatiatweeting: this is a source of #oxygen leads as of this weekend, verified personally by an intern in my team.

cities: #delhi #del…",Divyanshi449,"New Delhi, India",0,0.8242574235578322
216,"rt @rahulgandhi: india is gasping for #oxygen.

thanks to goi’s incompetency &amp; complacency.",MUHAMMEDAREFKH2,,0,-0.04677679132975664
217,@sonusood @vishallamba20 @soodfoundation aiming to plant #smartoxytree with 95% pure #oxygen in public places for a… https://t.co/scejwqyahy,jha_yatendra,India,0,1.411675741619161
218,"rt @vikramdevinc: 100 #oxygen #beds are #available in #jaipur

covid care centre, radha soami satsang beas, bilwa

contact: 7023557768, 014…",SudhaSharma0608,"Lvng in MUM, Native to BENARAS",0,0.9768561782099007
220,@sonusood @vishallamba20 @soodfoundation aiming to plant #smartoxytree with 95% pure #oxygen in public places for a… https://t.co/adwlelcnt5,jha_yatendra,India,0,-0.3507035923285054
221,"rt @covidhelpchd: #oxygen support #cylinder

location : #kolkata
contact : 6291275298
( only for emergency. they will give support for 4 ho…",krysnah_9,,0,0.6102929076658321
223,#iamoxygenman free #oxygen beds free #covid #centre https://t.co/2bd9jonxxo via @youtube,Roshanp06633344,"Guwahati, India",0,-0.5181395391153377
224,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,namraah_hassan,,1,-1.2180113220207518
225,"#siliguri 
government control room for #oxygen and #remdesivir

#covidemergencyindia #covidhelp #covid19… https://t.co/8c99eesb0s",SiliguriCOVID19,"Siliguri, West Bengal, India",0,0.14915946332557828
227,"rt @helpranchi: #covidresources for #ranchi , #jharkhand #verified &amp; updated daily by team help, ranchi

date - 16 may 2021

resources list…",RanchiUpdates,Ranchi,0,0.4023021845238525
228,rt @israelbangalore: the #oxygen generator from #israel is up and running at kolar kgf hospital. it is truly our honour to be able to help…,SeidmanAriel,Israel,0,0.1779767380706052
229,rt @drshamamohd: 8 more people die due to lack of #oxygen at goa hospital. the total death toll is now 83. what a senseless loss of life! i…,karthiksankar14,"Madurai East, Tamil Nadu",1,2.052776045252905
230,"rt @ralpharakal: 34,200 kgs #zeolite arrive at @blrairport from rome in two air india flights. officials say this is the first of many batc…",JogarishettarM,"Hubli, India",0,0.281310320911486
